Measurement,Major Axis (μm),Minor Axis (μm)
0,35.226,34.31
1,24.691,23.775
2,24.996,24.385
3,35.39,34.312
4,24.843,24.691
5,36.142,34.463
6,24.428,24.105
7,35.55,34.184
8,24.843,24.08
9,35.396,34.43
10,24.415,24.288
11,35.837,34.31
12,24.097,23.421
13,35.225,34.901
14,36.028,34.389
15,24.843,24.233
16,35.345,34.73
17,24.538,23.622
18,35.532,34.005
19,24.385,23.622
20,24.843,24.538
21,35.99,34.616
22,24.691,24.385
23,35.99,34.616
24,24.627,24.246
25,35.299,34.527
26,24.644,24.428
27,35.058,34.623
28,35.074,34.157
29,24.351,23.395
30,24.996,24.233
31,35.226,34.463
32,25.301,25.149
33,36.295,34.921
34,24.428,24.321
35,35.14,34.935
36,35.449,34.967
37,25.119,24.101
38,24.86,24.105
39,36.142,34.768
40,35.003,34.798
41,25.307,23.805
42,34.577,34.47
43,24.146,23.941
44,35.879,34.768
45,25.184,24.321
46,35.684,34.31
47,24.536,24.321
48,24.556,24.283
49,35.55,34.252
50,24.428,23.997
51,34.921,34.463
52,26.588,25.724
53,36.369,35.481
54,24.996,23.622
55,35.684,34.616
56,24.213,23.781
57,35.117,35.117
58,24.761,24.283
59,35.532,34.463
60,24.538,24.08
61,35.39,34.581
62,34.867,34.116
63,24.585,24.034
64,25.008,24.923
65,35.549,35.225
66,35.837,33.547
67,24.556,23.395
68,35.074,33.547
69,23.316,23.316
70,24.669,24.076
71,35.532,34.921
72,36.142,34.157
73,24.843,24.385
74,35.276,34.73
75,24.351,23.668
76,23.941,23.736
77,35.203,34.237
78,35.837,34.157
79,25.177,24.796
